"At this time your order #%1 display a checkout transaction which is pending receipt of confirmation from your financial institution, please wait a few minutes and check back later to see if your payment was successfully confirmed. For more information about the current state of your operation you may contact our customer service line at %2 or send your concerns to the email %3 and ask for the status of the transaction: '%4'.","En este momento su pedido #%1 presenta un proceso de pago cuya transacción se encuentra pendiente de recibir confirmación por parte de su entidad financiera, por favor espere unos minutos y vuelva a consultar mas tarde para verificar si su pago fue confirmado de forma exitosa. Si desea mayor información sobre el estado actual de su operación puede comunicarse a nuestras líneas de atención al cliente %2 o enviar un correo electronico a %3 y preguntar por el estado de la transacción: '%4'."
"Meanwhile you have pending transactions is not advised to proceed.","Mientras tenga órdenes en proceso se recomienda que no proceda."
"Any person who realizes a purchase in the site %1, acting freely and voluntarily, authorizes to %2, through the service provider %3 y/o %4 to consult and request information from credit, financial, commercial performance and services to third parties, even in countries of the same nature in the central risk, generating a footprint consultation.","Cualquier persona que realice un compra en el sitio %1, actuando libre y voluntariamente, autoriza a %2, a través del proveedor del servicio %3 y/o %4 para que consulte y solicite información del comportamiento crediticio, financiero, comercial y de servicios a terceros, incluso en países de la misma naturaleza en las centrales de riesgo, generándose una huella de consulta."
"You will be redirected to the PlacetoPay secure payment page when you place an order.","Usted será redireccionado al sitio seguro de PlacetoPay cuando confirme la orden."

"Transactional key","Llave transaccional",
"Site Identifier","Identificador del sitio",
"URL refers to the endpoint to use","URL hace referencia al endpoint a usar",
"Enviroments","Entornos",
"Environment","Entorno",
"Development","Desarrollo",
"Production","Producción",
"URL for payment notifications: %1","URL para notificaciones de pagos %1",
"Notify URL","URL de notificación",
"We regret that you have decided to cancel the payment","Lamentamos que haya decidido cancelar el pago",
"An error has occurred while checking the payment status","Ha surgido un error al comprobar el estado del pago",
"invalid notification","notificacion no válida",
"Payment approved","Pago aprobado",
"Payment declined","Pago rechazado",
"Invoice created","Factura creada",
"Invoice #%1","Factura #%1",
"Sort Order","Sort Order",
"State of the Order","Estado de la Orden",
"Initial state of the order","Estado inicial del pedido",
"Order status when the payment is approved","Estado del pedido cuando el pago es aprobado",
"Order status when the payment is rejected","Estado del pedido cuando el pago es rechazado",
"transaction_approved_message", "Gracias, transacción aprobada por placetopay.",
"transaction_declined_message", "Lamentamos que haya decidido cancelar el pago.",
"transaction_pending_message","La transacción se encuentra pendiente, por favor espere un momento mientras se resuelve automáticamente.",


